State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
New Jersey,12/24/2016,"15,151",12/17/2016,"97,621","3,861,568",2.53
New Jersey,12/31/2016,"23,373",12/24/2016,"101,845","3,861,568",2.64
New Jersey,01/07/2017,"19,001",12/31/2016,"121,220","3,861,568",3.14
New Jersey,01/14/2017,"14,428",01/07/2017,"118,310","3,877,044",3.05
New Jersey,01/21/2017,"10,629",01/14/2017,"117,467","3,877,044",3.03
New Jersey,01/28/2017,"10,326",01/21/2017,"120,069","3,877,044",3.1
New Jersey,02/04/2017,"11,135",01/28/2017,"120,625","3,877,044",3.11
New Jersey,02/11/2017,"8,834",02/04/2017,"119,277","3,877,044",3.08
New Jersey,02/18/2017,"10,057",02/11/2017,"123,051","3,877,044",3.17
New Jersey,02/25/2017,"8,833",02/18/2017,"119,887","3,877,044",3.09
New Jersey,03/04/2017,"8,761",02/25/2017,"121,426","3,877,044",3.13
New Jersey,03/11/2017,"8,277",03/04/2017,"116,867","3,877,207",3.01
New Jersey,03/18/2017,"9,296",03/11/2017,"113,619","3,877,207",2.93
New Jersey,03/25/2017,"8,679",03/18/2017,"117,135","3,877,207",3.02
New Jersey,04/01/2017,"8,213",03/25/2017,"112,392","3,877,207",2.9
New Jersey,04/08/2017,"9,095",04/01/2017,"107,510","3,892,878",2.76
New Jersey,04/15/2017,"12,193",04/08/2017,"99,185","3,892,878",2.55
New Jersey,04/22/2017,"12,392",04/15/2017,"101,416","3,892,878",2.61
New Jersey,04/29/2017,"8,323",04/22/2017,"97,390","3,892,878",2.5
New Jersey,05/06/2017,"8,404",04/29/2017,"89,945","3,892,878",2.31
New Jersey,05/13/2017,"8,224",05/06/2017,"86,451","3,892,878",2.22
New Jersey,05/20/2017,"7,824",05/13/2017,"84,914","3,892,891",2.18
New Jersey,05/27/2017,"8,058",05/20/2017,"84,889","3,892,891",2.18
New Jersey,06/03/2017,"7,488",05/27/2017,"84,207","3,892,891",2.16
New Jersey,06/10/2017,"8,022",06/03/2017,"85,052","3,892,891",2.18
New Jersey,06/17/2017,"9,454",06/10/2017,"83,394","3,892,891",2.14
New Jersey,06/24/2017,"16,664",06/17/2017,"83,446","3,892,891",2.14
New Jersey,07/01/2017,"16,458",06/24/2017,"89,698","3,892,891",2.3
New Jersey,07/08/2017,"14,620",07/01/2017,"96,666","3,906,654",2.47
New Jersey,07/15/2017,"10,697",07/08/2017,"106,160","3,906,654",2.72
New Jersey,07/22/2017,"9,375",07/15/2017,"106,024","3,906,654",2.71
New Jersey,07/29/2017,"8,369",07/22/2017,"105,215","3,906,654",2.69
New Jersey,08/05/2017,"9,145",07/29/2017,"104,799","3,906,654",2.68
New Jersey,08/12/2017,"8,369",08/05/2017,"103,957","3,906,654",2.66
New Jersey,08/19/2017,"8,556",08/12/2017,"103,673","3,906,654",2.65
New Jersey,08/26/2017,"7,859",08/19/2017,"103,184","3,920,826",2.63
New Jersey,09/02/2017,"7,807",08/26/2017,"103,886","3,920,826",2.65
New Jersey,09/09/2017,"7,455",09/02/2017,"99,999","3,920,826",2.55
New Jersey,09/16/2017,"7,766",09/09/2017,"91,320","3,920,826",2.33
New Jersey,09/23/2017,"7,723",09/16/2017,"81,298","3,920,826",2.07
New Jersey,09/30/2017,"7,397",09/23/2017,"80,391","3,920,826",2.05
New Jersey,10/07/2017,"8,483",09/30/2017,"78,915","3,920,826",2.01
New Jersey,10/14/2017,"8,010",10/07/2017,"77,189","3,920,147",1.97
New Jersey,10/21/2017,"8,666",10/14/2017,"80,071","3,920,147",2.04
New Jersey,10/28/2017,"8,564",10/21/2017,"80,949","3,920,147",2.06
New Jersey,11/04/2017,"9,415",10/28/2017,"80,833","3,920,147",2.06
New Jersey,11/11/2017,"10,491",11/04/2017,"78,814","3,920,147",2.01
New Jersey,11/18/2017,"10,813",11/11/2017,"87,934","3,920,147",2.24
New Jersey,11/25/2017,"10,619",11/18/2017,"82,561","3,920,147",2.11
New Jersey,12/02/2017,"11,089",11/25/2017,"93,440","3,920,147",2.38
New Jersey,12/09/2017,"10,924",12/02/2017,"89,537","3,920,147",2.28
New Jersey,12/16/2017,"11,818",12/09/2017,"91,580","3,920,147",2.34
New Jersey,12/23/2017,"14,904",12/16/2017,"95,173","3,920,147",2.43
New Jersey,12/30/2017,"24,411",12/23/2017,"96,337","3,920,147",2.46
New Jersey,01/06/2018,"16,190",12/30/2017,"113,263","3,920,147",2.89
New Jersey,01/13/2018,"15,040",01/06/2018,"121,653","3,934,397",3.09
New Jersey,01/20/2018,"10,806",01/13/2018,"116,061","3,934,397",2.95
New Jersey,01/27/2018,"8,981",01/20/2018,"118,337","3,934,397",3.01
New Jersey,02/03/2018,"8,863",01/27/2018,"117,895","3,934,397",3
New Jersey,02/10/2018,"9,049",02/03/2018,"118,209","3,934,397",3
New Jersey,02/17/2018,"9,382",02/10/2018,"116,575","3,934,397",2.96
New Jersey,02/24/2018,"7,908",02/17/2018,"113,829","3,934,397",2.89
New Jersey,03/03/2018,"8,712",02/24/2018,"116,906","3,934,397",2.97
New Jersey,03/10/2018,"8,270",03/03/2018,"110,371","3,934,232",2.81
New Jersey,03/17/2018,"8,917",03/10/2018,"112,190","3,934,232",2.85
New Jersey,03/24/2018,"7,245",03/17/2018,"107,628","3,934,232",2.74
New Jersey,03/31/2018,"9,326",03/24/2018,"106,898","3,934,232",2.72
New Jersey,04/07/2018,"14,893",03/31/2018,"102,631","3,934,232",2.61
New Jersey,04/14/2018,"8,991",04/07/2018,"105,335","3,945,632",2.67
New Jersey,04/21/2018,"7,205",04/14/2018,"93,464","3,945,632",2.37
New Jersey,04/28/2018,"7,098",04/21/2018,"87,731","3,945,632",2.22
New Jersey,05/05/2018,"7,298",04/28/2018,"84,191","3,945,089",2.13
New Jersey,05/12/2018,"7,292",05/05/2018,"81,476","3,945,089",2.07
New Jersey,05/19/2018,"8,418",05/12/2018,"79,547","3,945,089",2.02
New Jersey,05/26/2018,"7,785",05/19/2018,"79,863","3,945,089",2.02
New Jersey,06/02/2018,"6,107",05/26/2018,"79,626","3,945,089",2.02
New Jersey,06/09/2018,"7,705",06/02/2018,"79,862","3,957,083",2.02
New Jersey,06/16/2018,"7,648",06/09/2018,"78,509","3,957,083",1.98
New Jersey,06/23/2018,"13,084",06/16/2018,"78,034","3,957,083",1.97
New Jersey,06/30/2018,"17,448",06/23/2018,"80,685","3,957,083",2.04
New Jersey,07/07/2018,"13,924",06/30/2018,"87,635","3,957,083",2.21
New Jersey,07/14/2018,"9,172",07/07/2018,"99,656","3,957,190",2.52
New Jersey,07/21/2018,"8,254",07/14/2018,"99,334","3,957,190",2.51
New Jersey,07/28/2018,"7,619",07/21/2018,"100,055","3,957,190",2.53
New Jersey,08/04/2018,"8,198",07/28/2018,"98,169","3,957,190",2.48
New Jersey,08/11/2018,"7,811",08/04/2018,"97,770","3,957,190",2.47
New Jersey,08/18/2018,"8,276",08/11/2018,"97,886","3,968,853",2.47
New Jersey,08/25/2018,"7,371",08/18/2018,"97,836","3,968,853",2.47
New Jersey,09/01/2018,"7,106",08/25/2018,"97,347","3,968,853",2.45
New Jersey,09/08/2018,"6,512",09/01/2018,"94,594","3,968,853",2.38
New Jersey,09/15/2018,"8,000",09/08/2018,"85,659","3,968,853",2.16
New Jersey,09/22/2018,"7,122",09/15/2018,"76,422","3,968,853",1.93
New Jersey,09/29/2018,"6,907",09/22/2018,"74,133","3,968,853",1.87
New Jersey,10/06/2018,"7,904",09/29/2018,"74,067","3,968,853",1.87
New Jersey,10/13/2018,"7,245",10/06/2018,"71,966","3,968,853",1.81
New Jersey,10/20/2018,"8,081",10/13/2018,"73,634","3,967,985",1.86
New Jersey,10/27/2018,"7,763",10/20/2018,"74,017","3,967,985",1.87
New Jersey,11/03/2018,"8,504",10/27/2018,"74,718","3,967,985",1.88
New Jersey,11/10/2018,"11,420",11/03/2018,"74,345","3,967,985",1.87
New Jersey,11/17/2018,"9,073",11/10/2018,"80,412","3,967,985",2.03
New Jersey,11/24/2018,"9,560",11/17/2018,"76,974","3,967,985",1.94
New Jersey,12/01/2018,"10,211",11/24/2018,"85,596","3,967,985",2.16
New Jersey,12/08/2018,"10,220",12/01/2018,"81,714","3,967,985",2.06
New Jersey,12/15/2018,"9,639",12/08/2018,"82,272","3,967,985",2.07
New Jersey,12/22/2018,"15,887",12/15/2018,"86,548","3,967,985",2.18
New Jersey,12/29/2018,"23,732",12/22/2018,"87,417","3,967,985",2.2
New Jersey,01/05/2019,"15,716",12/29/2018,"108,647","3,967,985",2.74
New Jersey,01/12/2019,"14,167",01/05/2019,"110,669","3,977,393",2.78
New Jersey,01/19/2019,"10,190",01/12/2019,"106,096","3,977,393",2.67
New Jersey,01/26/2019,"11,130",01/19/2019,"108,219","3,977,393",2.72
New Jersey,02/02/2019,"9,903",01/26/2019,"111,749","3,977,393",2.81
New Jersey,02/09/2019,"9,758",02/02/2019,"111,536","3,977,393",2.8
New Jersey,02/16/2019,"8,841",02/09/2019,"108,663","3,977,393",2.73
New Jersey,02/23/2019,"8,512",02/16/2019,"110,184","3,977,393",2.77
New Jersey,03/02/2019,"8,155",02/23/2019,"112,183","3,977,393",2.82
New Jersey,03/09/2019,"7,990",03/02/2019,"109,482","3,977,393",2.75
New Jersey,03/16/2019,"7,853",03/09/2019,"107,328","3,977,393",2.7
New Jersey,03/23/2019,"7,485",03/16/2019,"104,241","3,977,211",2.62
New Jersey,03/30/2019,"6,894",03/23/2019,"100,024","3,977,211",2.51
New Jersey,04/06/2019,"7,707",03/30/2019,"95,817","3,977,211",2.41
New Jersey,04/13/2019,"7,641",04/06/2019,"88,763","3,986,641",2.23
New Jersey,04/20/2019,"10,737",04/13/2019,"84,194","3,986,641",2.11
New Jersey,04/27/2019,"13,778",04/20/2019,"85,786","3,986,641",2.15
New Jersey,05/04/2019,"7,539",04/27/2019,"89,666","3,986,641",2.25
New Jersey,05/11/2019,"7,672",05/04/2019,"78,725","3,986,579",1.97
New Jersey,05/18/2019,"7,054",05/11/2019,"76,577","3,986,579",1.92
New Jersey,05/25/2019,"7,928",05/18/2019,"75,820","3,986,579",1.9
New Jersey,06/01/2019,"6,230",05/25/2019,"75,880","3,986,579",1.9
New Jersey,06/08/2019,"8,217",06/01/2019,"76,710","3,986,579",1.92
New Jersey,06/15/2019,"8,064",06/08/2019,"75,278","3,986,579",1.89
New Jersey,06/22/2019,"13,644",06/15/2019,"75,852","3,986,579",1.9
New Jersey,06/29/2019,"18,558",06/22/2019,"80,090","3,986,579",2.01
New Jersey,07/06/2019,"12,612",06/29/2019,"87,044","3,986,579",2.18
New Jersey,07/13/2019,"8,910",07/06/2019,"98,783","3,995,886",2.47
New Jersey,07/20/2019,"8,070",07/13/2019,"97,560","3,995,886",2.44
New Jersey,07/27/2019,"7,265",07/20/2019,"96,801","3,995,886",2.42
New Jersey,08/03/2019,"8,205",07/27/2019,"95,886","3,995,886",2.4
New Jersey,08/10/2019,"8,224",08/03/2019,"95,093","3,995,886",2.38
New Jersey,08/17/2019,"7,541",08/10/2019,"94,922","3,995,886",2.38
New Jersey,08/24/2019,"7,746",08/17/2019,"95,509","3,995,886",2.39
New Jersey,08/31/2019,"7,103",08/24/2019,"94,789","3,995,886",2.37
New Jersey,09/07/2019,"6,658",08/31/2019,"92,978","3,995,886",2.33
New Jersey,09/14/2019,"7,455",09/07/2019,"83,934","3,995,886",2.1
New Jersey,09/21/2019,"6,718",09/14/2019,"73,417","3,995,886",1.84
New Jersey,09/28/2019,"6,699",09/21/2019,"72,053","3,995,886",1.8
New Jersey,10/05/2019,"7,721",09/28/2019,"71,660","3,995,886",1.79
New Jersey,10/12/2019,"7,706",10/05/2019,"71,529","3,995,886",1.79
New Jersey,10/19/2019,"7,482",10/12/2019,"71,216","4,007,202",1.78
New Jersey,10/26/2019,"7,990",10/19/2019,"72,947","4,007,202",1.82
New Jersey,11/02/2019,"7,550",10/26/2019,"72,909","4,007,202",1.82
New Jersey,11/09/2019,"12,747",11/02/2019,"75,018","4,007,202",1.87
New Jersey,11/16/2019,"8,978",11/09/2019,"78,801","4,007,202",1.97
New Jersey,11/23/2019,"9,523",11/16/2019,"79,682","4,007,202",1.99
New Jersey,11/30/2019,"9,149",11/23/2019,"78,017","4,007,202",1.95
New Jersey,12/07/2019,"12,463",11/30/2019,"87,903","4,007,202",2.19
New Jersey,12/14/2019,"10,806",12/07/2019,"85,764","4,007,202",2.14
New Jersey,12/21/2019,"13,001",12/14/2019,"89,206","4,007,202",2.23
New Jersey,12/28/2019,"22,855",12/21/2019,"89,248","4,007,202",2.23
New Jersey,01/04/2020,"15,325",12/28/2019,"111,335","4,007,202",2.78
New Jersey,01/11/2020,"13,469",01/04/2020,"120,461","4,015,146",3
New Jersey,01/18/2020,"10,728",01/11/2020,"108,425","4,015,146",2.7
New Jersey,01/25/2020,"9,325",01/18/2020,"107,082","4,015,146",2.67
New Jersey,02/01/2020,"8,304",01/25/2020,"110,022","4,015,146",2.74
New Jersey,02/08/2020,"9,288",02/01/2020,"109,931","4,015,146",2.74
New Jersey,02/15/2020,"8,550",02/08/2020,"110,016","4,015,146",2.74
New Jersey,02/22/2020,"8,396",02/15/2020,"109,265","4,015,146",2.72
New Jersey,02/29/2020,"7,773",02/22/2020,"110,902","4,015,146",2.76
New Jersey,03/07/2020,"7,996",02/29/2020,"107,646","4,015,146",2.68
New Jersey,03/14/2020,"9,467",03/07/2020,"104,283","4,015,146",2.6
New Jersey,03/21/2020,"115,815",03/14/2020,"105,840","4,015,146",2.64
New Jersey,03/28/2020,"206,253",03/21/2020,"156,181","4,015,146",3.89
New Jersey,04/04/2020,"214,836",03/28/2020,"276,119","4,015,146",6.88
New Jersey,04/11/2020,"141,420",04/04/2020,"429,388","4,025,826",10.67
New Jersey,04/18/2020,"140,139",04/11/2020,"556,005","4,025,826",13.81
New Jersey,04/25/2020,"71,966",04/18/2020,"621,753","4,025,826",15.44
New Jersey,05/02/2020,"88,326",04/25/2020,"642,651","4,025,826",15.96
New Jersey,05/09/2020,"69,689",05/02/2020,"715,433","4,025,826",17.77
New Jersey,05/16/2020,"42,365",05/09/2020,"601,770","4,025,826",14.95
New Jersey,05/23/2020,"34,410",05/16/2020,"586,532","4,025,826",14.57
New Jersey,05/30/2020,"26,752",05/23/2020,"547,913","4,025,826",13.61
New Jersey,06/06/2020,"23,166",05/30/2020,"559,057","4,025,826",13.89
New Jersey,06/13/2020,"26,438",06/06/2020,"538,269","4,025,826",13.37

